university_id,degree_level,major_name_en,major_name_cn,is_active,notes
43,bachelor,Bachelor of Mathematics,数学学士,1,UWA Handbook 2026 course search (type=courses); code=BP059; accessed=2026-01-19; source=https://handbooks.uwa.edu.au/search?type=courses
43,bachelor,Bachelor of Social and Environmental Sustainability,社会与环境 可持续发展学士,1,UWA Handbook 2026 course search (type=courses); code=BP062; accessed=2026-01-19; source=https://handbooks.uwa.edu.au/search?type=courses
43,bachelor,Bachelor of Media and Communication,媒体与传播学士,1,UWA Handbook 2026 course search (type=courses); code=BP069; accessed=2026-01-19; source=https://handbooks.uwa.edu.au/search?type=courses
43,bachelor,Bachelor of Art History and Curatorial Studies,艺术史与策展研究学士,1,UWA Handbook 2026 course search (type=courses); code=BP070; accessed=2026-01-19; source=https://handbooks.uwa.edu.au/search?type=courses
43,bachelor,Bachelor of Psychological Studies,心理学研究学士,1,UWA Handbook 2026 course search (type=courses); code=BP503; accessed=2026-01-19; source=https://handbooks.uwa.edu.au/search?type=courses
43,bachelor,Bachelor of Science and Technology,科学与技术学士,1,UWA Handbook 2026 course search (type=courses); code=BP502; accessed=2026-01-19; source=https://handbooks.uwa.edu.au/search?type=courses
43,bachelor,Bachelor of Letters,人文学士,1,UWA Handbook 2026 course search (type=courses); code=BP501; accessed=2026-01-19; source=https://handbooks.uwa.edu.au/search?type=courses
43,bachelor,Bachelor of Arts (Integrated Professional),文学学士（综合职业发展）,1,UWA Handbook 2026 course search (type=courses); code=BW001; accessed=2026-01-19; source=https://handbooks.uwa.edu.au/search?type=courses
43,bachelor,Bachelor of Commerce (Integrated Professional),商学学士（综合职业发展）,1,UWA Handbook 2026 course search (type=courses); code=BW002; accessed=2026-01-19; source=https://handbooks.uwa.edu.au/search?type=courses
43,bachelor,Bachelor of Science (Integrated Professional),理学学士（综合职业发展）,1,UWA Handbook 2026 course search (type=courses); code=BW004; accessed=2026-01-19; source=https://handbooks.uwa.edu.au/search?type=courses
43,bachelor,Bachelor of Arts (Honours),文学学士（荣誉）,1,UWA Handbook 2026 course search (type=courses); code=BH001; accessed=2026-01-19; source=https://handbooks.uwa.edu.au/search?type=courses
43,bachelor,Bachelor of Commerce (Honours),商学学士（荣誉）,1,UWA Handbook 2026 course search (type=courses); code=BH002; accessed=2026-01-19; source=https://handbooks.uwa.edu.au/search?type=courses
43,bachelor,Bachelor of Science (Honours),理学学士（荣誉）,1,UWA Handbook 2026 course search (type=courses); code=BH004; accessed=2026-01-19; source=https://handbooks.uwa.edu.au/search?type=courses
43,bachelor,Bachelor of Biomedical Science (Honours),生物医学科学学士（荣誉）,1,UWA Handbook 2026 course search (type=courses); code=BH006; accessed=2026-01-19; source=https://handbooks.uwa.edu.au/search?type=courses
43,bachelor,Bachelor of Philosophy (Honours),哲学学士（荣誉）,1,UWA Handbook 2026 course search (type=courses); code=BH005; accessed=2026-01-19; source=https://handbooks.uwa.edu.au/search?type=courses
43,bachelor,Bachelor of Advanced Computer Science (Honours),高级计算机科学学士（荣誉）,1,UWA Handbook 2026 course search (type=courses); code=BH008; accessed=2026-01-19; source=https://handbooks.uwa.edu.au/search?type=courses
43,bachelor,Bachelor of Music (Honours),音乐学士（荣誉）,1,UWA Handbook 2026 course search (type=courses); code=BH009; accessed=2026-01-19; source=https://handbooks.uwa.edu.au/search?type=courses
43,bachelor,Bachelor of Psychology (Honours),心理学学士（荣誉）,1,UWA Handbook 2026 course search (type=courses); code=BH014; accessed=2026-01-19; source=https://handbooks.uwa.edu.au/search?type=courses
43,bachelor,"Bachelor of Philosophy, Politics, and Economics (Honours)",哲学、政治与经济学学士（荣誉）,1,UWA Handbook 2026 course search (type=courses); code=BH015; accessed=2026-01-19; source=https://handbooks.uwa.edu.au/search?type=courses
43,bachelor,Bachelor of Modern Languages (Honours),现代语言学士（荣誉）,1,UWA Handbook 2026 course search (type=courses); code=BH016; accessed=2026-01-19; source=https://handbooks.uwa.edu.au/search?type=courses
43,bachelor,Bachelor of Business (Honours),商业学士（荣誉）,1,UWA Handbook 2026 course search (type=courses); code=BH021; accessed=2026-01-19; source=https://handbooks.uwa.edu.au/search?type=courses
43,bachelor,Bachelor of Criminology and Criminal Justice (Honours),犯罪学与刑事司法学士（荣誉）,1,UWA Handbook 2026 course search (type=courses); code=BH018; accessed=2026-01-19; source=https://handbooks.uwa.edu.au/search?type=courses
43,bachelor,Bachelor of Economics (Honours),经济学学士（荣誉）,1,UWA Handbook 2026 course search (type=courses); code=BH013; accessed=2026-01-19; source=https://handbooks.uwa.edu.au/search?type=courses
43,bachelor,Bachelor of Education (Primary) (Honours),教育学学士（小学教育）（荣誉）,1,UWA Handbook 2026 course search (type=courses); code=BH020; accessed=2026-01-19; source=https://handbooks.uwa.edu.au/search?type=courses
43,bachelor,Bachelor of Nursing (Honours),护理学学士（荣誉）,1,UWA Handbook 2026 course search (type=courses); code=BH028; accessed=2026-01-19; source=https://handbooks.uwa.edu.au/search?type=courses
43,bachelor,Bachelor of Sport and Exercise Sciences (Honours),运动与锻炼科学学士（荣誉）,1,UWA Handbook 2026 course search (type=courses); code=BH032; accessed=2026-01-19; source=https://handbooks.uwa.edu.au/search?type=courses
43,bachelor,Bachelor of Mathematics (Honours),数学学士（荣誉）,1,UWA Handbook 2026 course search (type=courses); code=BH035; accessed=2026-01-19; source=https://handbooks.uwa.edu.au/search?type=courses
43,bachelor,Bachelor of Landscape Architecture (Honours),景观建筑学士（荣誉）,1,UWA Handbook 2026 course search (type=courses); code=BH039; accessed=2026-01-19; source=https://handbooks.uwa.edu.au/search?type=courses
43,bachelor,Bachelor of Environmental Design (Honours),环境设计学士（荣誉）,1,UWA Handbook 2026 course search (type=courses); code=BH040; accessed=2026-01-19; source=https://handbooks.uwa.edu.au/search?type=courses
43,bachelor,Bachelor of Agribusiness and Bachelor of Science,农业商务学士与理学学士,1,UWA Handbook 2026 course search (type=courses); code=CB001; accessed=2026-01-19; source=https://handbooks.uwa.edu.au/search?type=courses
43,bachelor,Bachelor of Environmental Science and Bachelor of Science,环境科学学士与理学学士,1,UWA Handbook 2026 course search (type=courses); code=CB002; accessed=2026-01-19; source=https://handbooks.uwa.edu.au/search?type=courses
43,bachelor,Bachelor of Agricultural Science and Bachelor of Science,农业科学学士与理学学士,1,UWA Handbook 2026 course search (type=courses); code=CB003; accessed=2026-01-19; source=https://handbooks.uwa.edu.au/search?type=courses
43,bachelor,Bachelor of Engineering (Honours) and Bachelor of Science,工程学学士（荣誉）与理学学士,1,UWA Handbook 2026 course search (type=courses); code=CB004; accessed=2026-01-19; source=https://handbooks.uwa.edu.au/search?type=courses
43,bachelor,Bachelor of Engineering (Honours) and Bachelor of Commerce,工程学学士（荣誉）与商学学士,1,UWA Handbook 2026 course search (type=courses); code=CB006; accessed=2026-01-19; source=https://handbooks.uwa.edu.au/search?type=courses
43,bachelor,"Bachelor of Philosophy, Politics and Economics and Bachelor of Arts",哲学、政治与经济学学士与文学学士,1,UWA Handbook 2026 course search (type=courses); code=CB012; accessed=2026-01-19; source=https://handbooks.uwa.edu.au/search?type=courses
43,bachelor,Bachelor of Economics and Bachelor of Commerce,经济学学士与商学学士,1,UWA Handbook 2026 course search (type=courses); code=CB020; accessed=2026-01-19; source=https://handbooks.uwa.edu.au/search?type=courses
43,bachelor,Bachelor of Human Rights and Bachelor of Arts,人权学士与文学学士,1,UWA Handbook 2026 course search (type=courses); code=CB022; accessed=2026-01-19; source=https://handbooks.uwa.edu.au/search?type=courses
43,bachelor,Bachelor of Human Rights and Bachelor of Commerce,人权学士与商学学士,1,UWA Handbook 2026 course search (type=courses); code=CB023; accessed=2026-01-19; source=https://handbooks.uwa.edu.au/search?type=courses
43,bachelor,Bachelor of Modern Languages and Bachelor of Arts,现代语言学士与文学学士,1,UWA Handbook 2026 course search (type=courses); code=CB026; accessed=2026-01-19; source=https://handbooks.uwa.edu.au/search?type=courses
43,bachelor,Bachelor of Modern Languages and Bachelor of Business,现代语言学士与商业学士,1,UWA Handbook 2026 course search (type=courses); code=CB028; accessed=2026-01-19; source=https://handbooks.uwa.edu.au/search?type=courses
43,bachelor,Bachelor of Modern Languages and Bachelor of Science,现代语言学士与理学学士,1,UWA Handbook 2026 course search (type=courses); code=CB029; accessed=2026-01-19; source=https://handbooks.uwa.edu.au/search?type=courses
43,bachelor,Bachelor of Engineering (Honours) and Bachelor of Modern Languages,工程学学士（荣誉）与现代语言学士,1,UWA Handbook 2026 course search (type=courses); code=CB030; accessed=2026-01-19; source=https://handbooks.uwa.edu.au/search?type=courses
43,bachelor,Bachelor of Philosophy (Honours) and Bachelor of Modern Languages,哲学学士（荣誉）与现代语言学士,1,UWA Handbook 2026 course search (type=courses); code=CB031; accessed=2026-01-19; source=https://handbooks.uwa.edu.au/search?type=courses
43,bachelor,Bachelor of Modern Languages and Bachelor of Biomedical Science,现代语言学士与生物医学科学学士,1,UWA Handbook 2026 course search (type=courses); code=CB032; accessed=2026-01-19; source=https://handbooks.uwa.edu.au/search?type=courses
43,bachelor,Bachelor of Music and Bachelor of Arts,音乐学士与文学学士,1,UWA Handbook 2026 course search (type=courses); code=CB038; accessed=2026-01-19; source=https://handbooks.uwa.edu.au/search?type=courses
43,bachelor,Bachelor of Music and Bachelor of Science,音乐学士与理学学士,1,UWA Handbook 2026 course search (type=courses); code=CB039; accessed=2026-01-19; source=https://handbooks.uwa.edu.au/search?type=courses
43,bachelor,Bachelor of Music and Bachelor of Business,音乐学士与商业学士,1,UWA Handbook 2026 course search (type=courses); code=CB041; accessed=2026-01-19; source=https://handbooks.uwa.edu.au/search?type=courses
43,bachelor,Bachelor of Social and Environmental Sustainability and Bachelor of Arts,社会与环境 可持续发展学士与文学学士,1,UWA Handbook 2026 course search (type=courses); code=CB045; accessed=2026-01-19; source=https://handbooks.uwa.edu.au/search?type=courses
43,bachelor,Bachelor of Media and Communication and Bachelor of Commerce,媒体与传播学士与商学学士,1,UWA Handbook 2026 course search (type=courses); code=CB048; accessed=2026-01-19; source=https://handbooks.uwa.edu.au/search?type=courses
43,bachelor,Bachelor of Art History and Curatorial Studies and Bachelor of Arts,艺术史与策展研究学士与文学学士,1,UWA Handbook 2026 course search (type=courses); code=CB049; accessed=2026-01-19; source=https://handbooks.uwa.edu.au/search?type=courses
43,bachelor,Bachelor of Art History and Curatorial Studies and Bachelor of Commerce,艺术史与策展研究学士与商学学士,1,UWA Handbook 2026 course search (type=courses); code=CB052; accessed=2026-01-19; source=https://handbooks.uwa.edu.au/search?type=courses
43,master,Master of Studies (coursework or coursework and dissertation),研究硕士（授课型或授课型+论文）,1,UWA Handbook 2026 course search (type=courses); code=00500; accessed=2026-01-19; source=https://handbooks.uwa.edu.au/search?type=courses
43,master,Master of Philosophy (research),哲学硕士（研究型）,1,UWA Handbook 2026 course search (type=courses); code=00710; accessed=2026-01-19; source=https://handbooks.uwa.edu.au/search?type=courses
43,master,Master of Business Administration (coursework),工商管理硕士（授课型）,1,UWA Handbook 2026 course search (type=courses); code=42520; accessed=2026-01-19; source=https://handbooks.uwa.edu.au/search?type=courses
43,master,Master of Business Administration (coursework and dissertation),工商管理硕士（授课型+论文）,1,UWA Handbook 2026 course search (type=courses); code=43520; accessed=2026-01-19; source=https://handbooks.uwa.edu.au/search?type=courses
43,master,Master of Business Administration - Global (coursework),工商管理硕士（全球方向）（授课型）,1,UWA Handbook 2026 course search (type=courses); code=42650; accessed=2026-01-19; source=https://handbooks.uwa.edu.au/search?type=courses
43,master,Master of Economics (coursework or coursework and dissertation),经济学硕士（授课型或授课型+论文）,1,UWA Handbook 2026 course search (type=courses); code=42670; accessed=2026-01-19; source=https://handbooks.uwa.edu.au/search?type=courses
43,master,Master of Business Information and Logistics Management (coursework),商业信息与物流管理硕士（授课型）,1,UWA Handbook 2026 course search (type=courses); code=41670; accessed=2026-01-19; source=https://handbooks.uwa.edu.au/search?type=courses
43,master,Master of Commerce (coursework),商学硕士（授课型）,1,UWA Handbook 2026 course search (type=courses); code=41680; accessed=2026-01-19; source=https://handbooks.uwa.edu.au/search?type=courses
43,master,Master of Human Resources and Employment Relations (coursework),人力资源与雇佣关系硕士（授课型）,1,UWA Handbook 2026 course search (type=courses); code=41660; accessed=2026-01-19; source=https://handbooks.uwa.edu.au/search?type=courses
43,master,Master of Marketing (coursework),市场营销硕士（授课型）,1,UWA Handbook 2026 course search (type=courses); code=41690; accessed=2026-01-19; source=https://handbooks.uwa.edu.au/search?type=courses
43,master,Master of Professional Accounting (coursework or coursework and dissertation),职业会计硕士（授课型或授课型+论文）,1,UWA Handbook 2026 course search (type=courses); code=40610; accessed=2026-01-19; source=https://handbooks.uwa.edu.au/search?type=courses
43,master,Master of Professional Accounting (Chartered Accounting) (coursework),职业会计硕士（特许会计）（授课型）,1,UWA Handbook 2026 course search (type=courses); code=42660; accessed=2026-01-19; source=https://handbooks.uwa.edu.au/search?type=courses
43,master,Master of Applied Finance (coursework or coursework and dissertation),应用金融硕士（授课型或授课型+论文）,1,UWA Handbook 2026 course search (type=courses); code=42560; accessed=2026-01-19; source=https://handbooks.uwa.edu.au/search?type=courses
43,master,Master of Management (coursework),管理学硕士（授课型）,1,UWA Handbook 2026 course search (type=courses); code=41780; accessed=2026-01-19; source=https://handbooks.uwa.edu.au/search?type=courses
43,master,Master of Public Policy (coursework or coursework and dissertation),公共政策硕士（授课型或授课型+论文）,1,UWA Handbook 2026 course search (type=courses); code=42580; accessed=2026-01-19; source=https://handbooks.uwa.edu.au/search?type=courses
43,master,Master of International Relations (coursework or coursework and dissertation),国际关系硕士（授课型或授课型+论文）,1,UWA Handbook 2026 course search (type=courses); code=11580; accessed=2026-01-19; source=https://handbooks.uwa.edu.au/search?type=courses
43,master,Master of International Development (coursework or coursework and dissertation),国际发展硕士（授课型或授课型+论文）,1,UWA Handbook 2026 course search (type=courses); code=71550; accessed=2026-01-19; source=https://handbooks.uwa.edu.au/search?type=courses
43,master,Master of Laws (coursework),法学硕士（授课型）,1,UWA Handbook 2026 course search (type=courses); code=20500; accessed=2026-01-19; source=https://handbooks.uwa.edu.au/search?type=courses
43,master,Master of Mining and Energy Law (coursework),矿业与能源法硕士（授课型）,1,UWA Handbook 2026 course search (type=courses); code=20550; accessed=2026-01-19; source=https://handbooks.uwa.edu.au/search?type=courses
43,master,Master of Resources and International Commercial Law (coursework),资源与国际商法硕士（授课型）,1,UWA Handbook 2026 course search (type=courses); code=20560; accessed=2026-01-19; source=https://handbooks.uwa.edu.au/search?type=courses
43,master,Master of Translation Studies (coursework or coursework and dissertation),翻译研究硕士（授课型或授课型+论文）,1,UWA Handbook 2026 course search (type=courses); code=12520; accessed=2026-01-19; source=https://handbooks.uwa.edu.au/search?type=courses
43,master,Master of Strategic Communication (coursework or coursework and dissertation),战略传播硕士（授课型或授课型+论文）,1,UWA Handbook 2026 course search (type=courses); code=12540; accessed=2026-01-19; source=https://handbooks.uwa.edu.au/search?type=courses
43,master,Master of Science Communication (coursework or coursework and dissertation),科学传播硕士（授课型或授课型+论文）,1,UWA Handbook 2026 course search (type=courses); code=51580; accessed=2026-01-19; source=https://handbooks.uwa.edu.au/search?type=courses
43,master,Master of Public Health (coursework or coursework and dissertation),公共卫生硕士（授课型或授课型+论文）,1,UWA Handbook 2026 course search (type=courses); code=92550; accessed=2026-01-19; source=https://handbooks.uwa.edu.au/search?type=courses
43,master,Master of Public Health (coursework or coursework and dissertation),公共卫生硕士（授课型或授课型+论文）,1,UWA Handbook 2026 course search (type=courses); code=91550; accessed=2026-01-19; source=https://handbooks.uwa.edu.au/search?type=courses
43,master,Master of Social Work (coursework),社会工作硕士（授课型）,1,UWA Handbook 2026 course search (type=courses); code=11550; accessed=2026-01-19; source=https://handbooks.uwa.edu.au/search?type=courses
43,master,Master of Health Professions Education (coursework and dissertation),卫生专业教育硕士（授课型+论文）,1,UWA Handbook 2026 course search (type=courses); code=90570; accessed=2026-01-19; source=https://handbooks.uwa.edu.au/search?type=courses
43,master,Master of Health Professions Education (online) (coursework and dissertation),卫生专业教育硕士（在线）（授课型+论文）,1,UWA Handbook 2026 course search (type=courses); code=90580; accessed=2026-01-19; source=https://handbooks.uwa.edu.au/search?type=courses
43,master,Master of Health Professions Education (thesis and coursework),卫生专业教育硕士（论文+授课）,1,UWA Handbook 2026 course search (type=courses); code=90670; accessed=2026-01-19; source=https://handbooks.uwa.edu.au/search?type=courses
43,master,Master of Clinical Audiology (coursework),临床听力学硕士（授课型）,1,UWA Handbook 2026 course search (type=courses); code=90540; accessed=2026-01-19; source=https://handbooks.uwa.edu.au/search?type=courses
43,master,Master of Clinical Science (coursework or coursework and dissertation),临床科学硕士（授课型或授课型+论文）,1,UWA Handbook 2026 course search (type=courses); code=90740; accessed=2026-01-19; source=https://handbooks.uwa.edu.au/search?type=courses
43,master,Master of Medical Physics (coursework and dissertation),医学物理硕士（授课型+论文）,1,UWA Handbook 2026 course search (type=courses); code=73660; accessed=2026-01-19; source=https://handbooks.uwa.edu.au/search?type=courses
43,master,Master of Industrial and Organisational Psychology (coursework and dissertation),工业与组织心理学硕士（授课型+论文）,1,UWA Handbook 2026 course search (type=courses); code=53580; accessed=2026-01-19; source=https://handbooks.uwa.edu.au/search?type=courses
43,master,Master of Professional Psychology (coursework),专业心理学硕士（授课型）,1,UWA Handbook 2026 course search (type=courses); code=73590; accessed=2026-01-19; source=https://handbooks.uwa.edu.au/search?type=courses
43,master,Master of Environmental Science (coursework or coursework and dissertation),环境科学硕士（授课型或授课型+论文）,1,UWA Handbook 2026 course search (type=courses); code=72530; accessed=2026-01-19; source=https://handbooks.uwa.edu.au/search?type=courses
43,master,Master of Geoscience (coursework or coursework and dissertation),地球科学硕士（授课型或授课型+论文）,1,UWA Handbook 2026 course search (type=courses); code=72550; accessed=2026-01-19; source=https://handbooks.uwa.edu.au/search?type=courses
43,master,Master of Hydrogeology (coursework or coursework and dissertation),水文地质学硕士（授课型或授课型+论文）,1,UWA Handbook 2026 course search (type=courses); code=72540; accessed=2026-01-19; source=https://handbooks.uwa.edu.au/search?type=courses
43,master,Master of Energy Geoscience (coursework or coursework and dissertation),能源地球科学硕士（授课型或授课型+论文）,1,UWA Handbook 2026 course search (type=courses); code=73540; accessed=2026-01-19; source=https://handbooks.uwa.edu.au/search?type=courses
43,master,Master of Ocean Leadership (coursework),海洋领导力硕士（授课型）,1,UWA Handbook 2026 course search (type=courses); code=62540; accessed=2026-01-19; source=https://handbooks.uwa.edu.au/search?type=courses
43,master,Master of Offshore and Coastal Engineering (coursework),海洋与海岸工程硕士（授课型）,1,UWA Handbook 2026 course search (type=courses); code=62570; accessed=2026-01-19; source=https://handbooks.uwa.edu.au/search?type=courses
43,master,Master of Ore Deposit Geology (coursework),矿床地质学硕士（授课型）,1,UWA Handbook 2026 course search (type=courses); code=70590; accessed=2026-01-19; source=https://handbooks.uwa.edu.au/search?type=courses
43,master,Master of Bioinformatics (coursework or coursework and dissertation),生物信息学硕士（授课型或授课型+论文）,1,UWA Handbook 2026 course search (type=courses); code=70550; accessed=2026-01-19; source=https://handbooks.uwa.edu.au/search?type=courses
43,master,Master of Biological Science (coursework or coursework and dissertation),生物科学硕士（授课型或授课型+论文）,1,UWA Handbook 2026 course search (type=courses); code=72520; accessed=2026-01-19; source=https://handbooks.uwa.edu.au/search?type=courses
43,master,Master of Agricultural Science (coursework or coursework and dissertation),农业科学硕士（授课型或授课型+论文）,1,UWA Handbook 2026 course search (type=courses); code=72510; accessed=2026-01-19; source=https://handbooks.uwa.edu.au/search?type=courses
43,master,Master of Clinical Exercise Physiology (coursework or coursework and dissertation),临床运动生理学硕士（授课型或授课型+论文）,1,UWA Handbook 2026 course search (type=courses); code=73520; accessed=2026-01-19; source=https://handbooks.uwa.edu.au/search?type=courses
43,master,Master of Infectious Diseases (coursework or coursework and dissertation),传染病学硕士（授课型或授课型+论文）,1,UWA Handbook 2026 course search (type=courses); code=54540; accessed=2026-01-19; source=https://handbooks.uwa.edu.au/search?type=courses
43,master,Master of Marine Biology (coursework or coursework and dissertation),海洋生物学硕士（授课型或授课型+论文）,1,UWA Handbook 2026 course search (type=courses); code=74540; accessed=2026-01-19; source=https://handbooks.uwa.edu.au/search?type=courses
43,master,Master of Forensic Anthropology (coursework and dissertation),法医人类学硕士（授课型+论文）,1,UWA Handbook 2026 course search (type=courses); code=72580; accessed=2026-01-19; source=https://handbooks.uwa.edu.au/search?type=courses
43,master,Master of Business Psychology (coursework),商业心理学硕士（授课型）,1,UWA Handbook 2026 course search (type=courses); code=73550; accessed=2026-01-19; source=https://handbooks.uwa.edu.au/search?type=courses
43,master,Master of Exercise Science (thesis and coursework),运动科学硕士（论文+授课）,1,UWA Handbook 2026 course search (type=courses); code=51610; accessed=2026-01-19; source=https://handbooks.uwa.edu.au/search?type=courses
43,master,Master of Science (thesis and coursework),理学硕士（论文+授课）,1,UWA Handbook 2026 course search (type=courses); code=70630; accessed=2026-01-19; source=https://handbooks.uwa.edu.au/search?type=courses
43,master,Master of Education (coursework and dissertation),教育学硕士（授课型+论文）,1,UWA Handbook 2026 course search (type=courses); code=30580; accessed=2026-01-19; source=https://handbooks.uwa.edu.au/search?type=courses
43,master,Master of Clinical Pathology (coursework or coursework and dissertation),临床病理学硕士（授课型或授课型+论文）,1,UWA Handbook 2026 course search (type=courses); code=92510; accessed=2026-01-19; source=https://handbooks.uwa.edu.au/search?type=courses
43,master,Master of Pathology (thesis and coursework),病理学硕士（论文+授课）,1,UWA Handbook 2026 course search (type=courses); code=92610; accessed=2026-01-19; source=https://handbooks.uwa.edu.au/search?type=courses
43,master,Master of Music (research),音乐硕士（研究型）,1,UWA Handbook 2026 course search (type=courses); code=10720; accessed=2026-01-19; source=https://handbooks.uwa.edu.au/search?type=courses
43,master,Master of Advanced Social Work (research),高级社会工作硕士（研究型）,1,UWA Handbook 2026 course search (type=courses); code=10750; accessed=2026-01-19; source=https://handbooks.uwa.edu.au/search?type=courses
